archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\APVM2409.2710,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,12.169,350.76,0.5529,0.8644,1.1636,1.1636,OK,
ATVM2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\ATVM2409.2710,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,80.342,302.01,0.0973,0.2758,0.1857,0.2758,OK,
AZVM2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\AZVM2409.2710,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,24.771,336.86,0.0419,0.0522,0.0368,0.0522,OK,
BJVM2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\BJVM2409.2710,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,2.105,105.32,0.6477,1.551,0.9134,1.551,OK,
CCHA2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\CCHA2409.2710,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,13.312,353.27,1.8745,1.5249,1.5756,1.8745,OK,
CCHN2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\CCHN2409.2710,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,11.876,332.28,0.9575,1.1799,1.4499,1.4499,OK,
CCHO2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\CCHO2409.2710,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,13.657,88.07,1.3486,1.3563,1.5738,1.5738,OK,
CCHS2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\CCHS2409.2710,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,7.622,186.76,0.8225,1.2507,1.2729,1.2729,OK,
CCHV2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\CCHV2409.2710,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,12.505,24.52,1.0087,1.357,1.3194,1.357,OK,
CENA2409.2710,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-27-2351_M2_4_CDMX\ACEL\ASA\CENA2409.2710,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/27,23:51:43,/M=2.4,19.38,-99.19,1.0,,23:51:13.000,[],[],[],Gal,2024-09-27-2351-13S.cdmx__270,7.423,168.08,0.114,0.1049,0.109,0.114,OK,
