archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
AMVM2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\AMVM2402.171,AMVM,AMECAMECA,,19.13189,-98.7859,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,51.799,120.67,0.1405,0.1821,0.1996,0.1996,OK,
APVM2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\APVM2402.171,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,13.124,0.62,0.7719,0.9705,1.5758,1.5758,OK,
AZVM2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\AZVM2402.171,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,25.081,342.27,0.0193,0.0216,0.0272,0.0272,OK,
BJVM2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\BJVM2402.171,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,4.165,82.32,0.4716,0.2714,0.4775,0.4775,OK,
CCHA2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\CCHA2402.171,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,14.343,2.15,0.943,1.2371,1.4416,1.4416,OK,
CCHN2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\CCHN2402.171,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,12.119,343.57,0.9186,1.3211,1.4772,1.4772,OK,
CCHO2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\CCHO2402.171,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,15.826,84.3,1.4846,1.4811,1.8238,1.8238,OK,
CCHS2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\CCHS2402.171,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.130,[],[],[],Gal,2024-02-17-1529-15S.NSN___009,6.569,169.45,0.8416,1.2197,1.2135,1.2197,OK,
CCHV2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\CCHV2402.171,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.130,[],[],[],Gal,2024-02-17-1529-15S.NSN___009,14.46,30.26,0.8657,1.2724,1.9043,1.9043,OK,
CJVM2402.171,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_17_1529_45_M2_CDMX\ACEL\ASA\CJVM2402.171,CJVM,CUAJIMALPA,,19.36165,-99.285133,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/17,15:29:45,/M=2.0,19.37,-99.21,1.0,,15:29:15.000,[],[],[],Gal,2024-02-17-1529-15S.MAN___264,7.936,263.29,0.1386,0.168,0.2457,0.2457,OK,
