archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\APVM2312.261,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,13.154,356.05,1.5614,2.5228,1.945,2.5228,OK,
BJVM2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\BJVM2312.261,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,3.129,79.76,0.8681,1.9732,2.7448,2.7448,OK,
CJVM2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CJVM2312.261,CJVM,CUAJIMALPA,,19.36165,-99.285133,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,8.979,264.08,0.0542,0.0856,0.0899,0.0899,OK,
CM552312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CM552312.261,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,14.363,83.3,0.1933,0.1184,0.0758,0.1933,OK,
CMCT2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CMCT2312.261,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,11.025,36.16,1.4446,0.2549,0.3314,1.4446,OK,
CMCU2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CMCU2312.261,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,4.845,155.73,0.1821,0.121,0.2582,0.2582,OK,
CMEA2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CMEA2312.261,CMEA,ESCUELA SECUNDARIA ENRIQUE O ARAGON,"CERRADA COMONFORT S/N, COL. SAN LUCAS, A",19.359965,-99.09599,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,866,3,HNZ/HNN/HNE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,10.968,95.82,0.2064,0.1215,0.1094,0.2064,OK,
CMEN2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CMEN2312.261,CMEN,JARDIN DE NIÑOS CENTENARIO DE LA HEROICA ESC. NAVAL MILITAR,"COL. BALDIO CANAL NACIONAL, ALCALDIA TLA",19.295514,-99.102591,2235.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101616,3,HNZ/HNN/HNE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,13.155,129.0,1.0005,0.599,0.6671,1.0005,OK,
CMJC2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CMJC2312.261,CMJC,ESCUELA PRIMARIA JOSE CLEMENTE OROZCO,"CALLE NORTE 94 NO. 4345, COL. LA MALINCH",19.452758,-99.10143,2232.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1073,3,HNZ/HNN/HNE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,13.84,48.31,0.315,0.1359,0.1091,0.315,OK,
CMMG2312.261,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_26_1335_44_M1.7_CDMX\ACEL\ASA\CMMG2312.261,CMMG,ESCUELA PRIMARIA GENERAL MARCIANO GONZALEZ,"CALLE CAHITAS, CULHUACAN CTM, COL. CULHU",19.332018,-99.115699,2254.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,867,3,HNZ/HNN/HNE,100.0,0.01,2023/12/26,13:35:44,/M=1.7,19.37,-99.2,1.0,,13:35:13.920,[],[],[],Gal,2023-12-26-1335-13S.NSN___111,9.801,115.51,0.1623,0.1425,0.0817,0.1623,OK,
