archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
AMVM2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\AMVM2402.164,AMVM,AMECAMECA,,19.13189,-98.7859,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,52.375,121.72,0.2841,0.3376,0.5085,0.5085,OK,
APVM2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\APVM2402.164,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,12.012,0.68,0.7627,0.8935,0.9669,0.9669,OK,
ATVM2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\ATVM2402.164,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,78.571,302.82,0.126,0.2066,0.142,0.2066,OK,
AZVM2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\AZVM2402.164,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,24.024,341.46,0.2403,0.0804,0.2649,0.2649,OK,
BJVM2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\BJVM2402.164,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,4.165,97.66,0.2309,0.3926,0.4699,0.4699,OK,
CCHA2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\CCHA2402.164,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,13.231,2.33,1.0352,1.2882,1.4641,1.4641,OK,
CCHN2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\CCHN2402.164,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,11.057,341.94,1.1092,1.2264,1.2834,1.2834,OK,
CCHO2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\CCHO2402.164,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,15.754,88.32,1.1833,1.7744,1.5912,1.7744,OK,
CCHS2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\CCHS2402.164,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,7.664,170.98,0.7047,1.4139,1.3628,1.4139,OK,
CCHV2402.164,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_16_1740_12_M1.2_CDMX\ACEL\ASA\CCHV2402.164,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/16,17:40:12,/M=1.2,19.38,-99.21,1.0,,17:39:42.000,[],[],[],Gal,2024-02-16-1739-42S.MAN___264,13.511,32.64,1.9299,2.8275,3.998,3.998,OK,
