archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\APVM2409.264,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,11.073,349.83,0.1815,0.4219,0.4965,0.4965,OK,
ATVM2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\ATVM2409.264,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,79.758,301.33,0.1206,0.0924,0.1126,0.1206,OK,
AZVM2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\AZVM2409.264,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,23.752,335.81,0.0104,0.0099,0.0098,0.0104,OK,
BJVM2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\BJVM2409.264,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,2.627,129.41,0.1693,0.3355,0.2485,0.3355,OK,
CCHA2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\CCHA2409.264,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,12.209,352.66,1.6415,1.2023,1.658,1.658,OK,
CCHO2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\CCHO2409.264,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,13.665,92.74,1.6265,1.5369,2.268,2.268,OK,
CCHS2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\CCHS2409.264,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,8.728,185.9,0.8757,1.3326,1.2574,1.3326,OK,
CCHV2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\CCHV2409.264,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,11.502,26.82,0.9903,1.2442,1.3433,1.3433,OK,
CENA2409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\CENA2409.264,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,8.514,169.63,0.0437,0.0498,0.0424,0.0498,OK,
CM552409.264,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1131_M1_0_CDMX\ACEL\ASA\CM552409.264,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,11:31:05,/M=1.0,19.39,-99.19,1.0,,11:30:45.000,[],[],[],Gal,2024-09-26-1130-45S.cdmx__267,13.227,92.38,0.137,0.0915,0.0751,0.137,OK,
