archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\APVM2409.2610,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,10.937,355.24,0.5452,0.5299,0.9491,0.9491,OK,
ATVM2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\ATVM2409.2610,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,78.864,301.73,0.1882,0.2094,0.1832,0.2094,OK,
AZVM2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\AZVM2409.2610,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,23.342,338.16,0.0684,0.0575,0.0542,0.0684,OK,
BJVM2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\BJVM2409.2610,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,3.501,118.44,0.6709,1.2536,0.8058,1.2536,OK,
CCHA2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\CCHA2409.2610,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,12.119,357.58,1.1208,1.2476,1.5577,1.5577,OK,
CCHN2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\CCHN2409.2610,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,10.412,334.54,0.9646,1.4698,1.2523,1.4698,OK,
CCHO2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\CCHO2409.2610,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,14.713,92.54,1.757,1.6542,1.8635,1.8635,OK,
CCHS2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\CCHS2409.2610,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,8.683,178.99,0.8882,1.4604,1.3987,1.4604,OK,
CCHV2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\CCHV2409.2610,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,12.012,31.29,1.1243,1.3089,1.3551,1.3551,OK,
CENA2409.2610,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1750_M1.5_CDMX\ACEL\ASA\CENA2409.2610,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,17:50:31,/M=1.5,19.39,-99.2,1.0,,17:50:00.000,[],[],[],Gal,2024-09-26-1750-00S.cdmx__267,8.764,162.86,3.1773,3.6718,1.9851,3.6718,OK,
