archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\APVM2312.282,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,13.154,356.05,0.0249,0.0243,0.0282,0.0282,OK,
BJVM2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\BJVM2312.282,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,3.129,79.76,0.3532,0.7863,0.7754,0.7863,OK,
CENA2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CENA2312.282,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLE/HLN/HLZ,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,6.671,157.23,0.0096,0.0123,0.0104,0.0123,OK,
CJVM2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CJVM2312.282,CJVM,CUAJIMALPA,,19.36165,-99.285133,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,8.979,264.08,0.0814,0.11,0.1081,0.11,OK,
CM552312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CM552312.282,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,14.363,83.3,0.0849,0.051,0.0429,0.0849,OK,
CMCT2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CMCT2312.282,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,11.025,36.16,2.382,0.3084,0.5001,2.382,OK,
CMCU2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CMCU2312.282,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,4.845,155.73,0.0137,0.0166,0.0227,0.0227,OK,
CMEA2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CMEA2312.282,CMEA,ESCUELA SECUNDARIA ENRIQUE O ARAGON,"CERRADA COMONFORT S/N, COL. SAN LUCAS, A",19.359965,-99.09599,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,866,3,HNZ/HNN/HNE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,10.968,95.82,0.0223,0.0171,0.0143,0.0223,OK,
CMEN2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CMEN2312.282,CMEN,JARDIN DE NIÑOS CENTENARIO DE LA HEROICA ESC. NAVAL MILITAR,"COL. BALDIO CANAL NACIONAL, ALCALDIA TLA",19.295514,-99.102591,2235.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101616,3,HNZ/HNN/HNE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,13.155,129.0,0.1581,0.1548,0.0875,0.1581,OK,
CMJC2312.282,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_28_0949_51_M1.7_CDMX\ACEL\ASA\CMJC2312.282,CMJC,ESCUELA PRIMARIA JOSE CLEMENTE OROZCO,"CALLE NORTE 94 NO. 4345, COL. LA MALINCH",19.452758,-99.10143,2232.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1073,3,HNZ/HNN/HNE,100.0,0.01,2023/12/28,09:49:51,/M=1.7,19.37,-99.2,1.0,,09:49:47.250,[],[],[],Gal,2023-12-28-0949-47S.NSN___126,13.84,48.31,0.2516,0.1978,0.0897,0.2516,OK,
