archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\APVM2312.181,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,14.264,356.36,0.7601,0.8312,0.6988,0.8312,OK,
BJVM2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\BJVM2312.181,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,3.502,61.55,0.3068,0.4851,0.5007,0.5007,OK,
CMCU2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\CMCU2312.181,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,3.858,148.93,0.0348,0.0474,0.0434,0.0474,OK,
CMMG2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\CMMG2312.181,CMMG,ESCUELA PRIMARIA GENERAL MARCIANO GONZALEZ,"CALLE CAHITAS, CULHUACAN CTM, COL. CULHU",19.332018,-99.115699,2254.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,867,3,HNZ/HNN/HNE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,9.376,109.37,0.1905,0.0,0.0952,0.1905,OK,
CMP52312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\CMP52312.181,CMP5,ESCUELA NACIONAL PREPARATORIA PLANTEL 5,CALZADA DEL HUESO # 729 NUEVA ORIENTAL C,19.307133,-99.134384,2241.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,865,3,HNZ/HNN/HNE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,9.053,130.48,0.0965,0.0517,0.0635,0.0965,OK,
CMP72312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\CMP72312.181,CMP7,ESCUELA NACIONAL PREPARATORIA PLANTEL 7,CALZADA DE LA VIGA 54 COL MERCED BALBUEN,19.419333,-99.125786,2240.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1070,3,HNZ/HNN/HNE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,10.204,49.7,0.3012,0.2275,0.1855,0.3012,OK,
CMRM2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\CMRM2312.181,CMRM,ESCUELA PRIMARIA REPUBLICA DE MADAGASCAR,"CALLE LIC. IGNACIO L. VALLARTA, COL. JAC",19.347694,-99.05146,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,874,3,HNZ/HNN/HNE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,15.643,94.99,0.7231,0.1591,0.7701,0.7701,OK,
CTVM2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\CTVM2312.181,CTVM,CUAUHTEMOC,,19.44313,-99.1656,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,9.923,21.32,0.8897,1.1086,0.7162,1.1086,OK,
ICVM2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\ICVM2312.181,ICVM,IZTACALCO,,19.384483,-99.09895,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,10.944,75.58,0.3663,0.2773,0.5075,0.5075,OK,
MCVM2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\MCVM2312.181,MCVM,MAGDALENA CONTRERAS,,19.320633,-99.255317,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,7.27,232.98,0.0169,0.0373,0.031,0.0373,OK,
TACY2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\TACY2312.181,TACY,TACUBAYA,"OBSERVATORIO DE TACUBAYA, CALLE VICTORIANO CEPEDA",19.404505,-99.195246,2240.0,SUELO DURO,INSTITUTO DE INGENIERIA UNAM,130-SMA,AF34,3,HNZ/HNN/HNE,200.0,0.005,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:38.470,[],[],[],Gal,2023-12-18-1927-38S.TACY__003,4.974,5.75,0.1841,0.1942,0.1553,0.1942,OK,
THVM2312.181,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_18_1927_55_M1.1_CDMX\ACEL\ASA\THVM2312.181,THVM,TLAHUAC,,19.310967,-98.973267,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/18,19:27:55,/M=1.1,19.36,-99.2,1.0,,19:27:49.900,[],[],[],Gal,2023-12-18-1927-49S.NSN___111,24.406,102.87,0.1273,0.1183,0.144,0.144,OK,
