archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\APVM2312.128,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,13.154,356.05,0.2644,0.4565,0.4168,0.4565,OK,
BJVM2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\BJVM2312.128,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,3.129,79.76,0.5443,1.1008,1.5801,1.5801,OK,
CENA2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CENA2312.128,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,6.671,157.23,0.079,0.0823,0.0804,0.0823,OK,
CM552312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CM552312.128,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,14.363,83.3,0.1947,0.1718,0.11,0.1947,OK,
CMCT2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CMCT2312.128,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,11.025,36.16,0.1982,0.0725,0.0393,0.1982,OK,
CMCU2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CMCU2312.128,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,4.845,155.73,0.0628,0.0935,0.1233,0.1233,OK,
CMEA2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CMEA2312.128,CMEA,ESCUELA SECUNDARIA ENRIQUE O ARAGON,"CERRADA COMONFORT S/N, COL. SAN LUCAS, A",19.359965,-99.09599,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,866,3,HNZ/HNN/HNE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,10.968,95.82,0.1456,0.0767,0.066,0.1456,OK,
CMEN2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CMEN2312.128,CMEN,JARDIN DE NIÑOS CENTENARIO DE LA HEROICA ESC. NAVAL MILITAR,"COL. BALDIO CANAL NACIONAL, ALCALDIA TLA",19.295514,-99.102591,2235.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101616,3,HNZ/HNN/HNE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,13.155,129.0,0.7094,0.4676,0.8592,0.8592,OK,
CMFZ2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CMFZ2312.128,CMFZ,FES ZARAGOZA,"CALZADA IGNACIO ZARAGOZA S/N, COL EJERCI",19.384119,-99.036316,2307.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103842,3,HNZ/HNN/HNE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,17.241,84.75,0.8996,0.903,0.6805,0.903,OK,
CMJC2312.128,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2023_12_12_1728_56_M1.9_CDMX\ACEL\ASA\CMJC2312.128,CMJC,ESCUELA PRIMARIA JOSE CLEMENTE OROZCO,"CALLE NORTE 94 NO. 4345, COL. LA MALINCH",19.452758,-99.10143,2232.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,1073,3,HNZ/HNN/HNE,100.0,0.01,2023/12/12,17:28:56,/M=1.9,19.37,-99.2,1.0,,17:28:49.960,[],[],[],Gal,2023-12-12-1728-49S.NSN___126,13.84,48.31,0.2468,0.1328,0.1322,0.2468,OK,
