archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
AO2420240214124213,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\AO2420240214124213,AO24,ALBERCA OLÍMPICA,"Del. Benito Juárez, Col. General Pedro",19.358,-99.1539,2235.0,Transición,"CIRES, A. C.",RAD_IO14,,3,N00E/+V/N90W,100.0,0.01,14/FEB/24,12:42:13.0,/Mc=2.8,19.37,-99.2,1.0,,12:41:18.00,[],[],[],Gal,,5.017,105.42,8.13783,7.51708,7.64172,8.13783,OK,
APVM2402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\APVM2402.141,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,12.235,359.19,0.8805,1.4216,1.4486,1.4486,OK,
AU4620240214124213,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\AU4620240214124213,AU46,ESC. SEC. TÉC. NO. 14,"Del. Benito Juárez, Col. del Valle,",19.3832,-99.1681,2233.0,Transición,"CIRES, A. C.",RAD_IO14,,3,N00E/+V/N90W,100.0,0.01,14/FEB/24,12:42:13.0,/Mc=2.8,19.37,-99.2,1.0,,12:41:18.00,[],[],[],Gal,,3.654,66.31,15.38067,9.60402,12.91934,15.38067,OK,
BJVM2402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\BJVM2402.141,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,3.828,94.99,15.7151,22.0045,35.7894,35.7894,OK,
CENA2402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\CENA2402.141,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,7.782,154.77,0.9856,1.572,1.8341,1.8341,OK,
CJVM2402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\CJVM2402.141,CJVM,CUAJIMALPA,,19.36165,-99.285133,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,8.395,257.51,0.473,0.6607,0.5576,0.6607,OK,
CM552402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\CM552402.141,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,15.02,87.0,0.1933,0.3002,0.3743,0.3743,OK,
CMBM2402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\CMBM2402.141,CMBM,BARTOLOME DE MEDINA,"ESCUELA PRIMARIA BARTOLOME DE MEDINA, SO",19.401245,-99.199547,2322.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101285,3,HNW/HNZ/HNN,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,2.7,16.83,15.9382,15.9765,32.4093,32.4093,OK,
CMCL2402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\CMCL2402.141,CMCL,HOSPITAL CLINICA LONDRES,"CALLE DURANGO, DENTRO DE LAS INSTALACION",19.421417,-99.156975,2245.0,ZONA DE LAGO,INSTITUTO DE INGENIERIA UNAM,ETNA 2,102505,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,7.13,47.37,3.0877,4.2083,4.3438,4.3438,OK,
CMCT2402.141,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1242_13_M2.8_CDMX\ACEL\ASA\CMCT2402.141,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:42:13,/M=2.8,19.378,-99.207,1.0,,12:42: 0.330,[],[],[],Gal,2024-02-14-1242-00S.CM1___240,10.798,42.09,1.4211,2.216,1.6013,2.216,OK,
