archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\APVM2409.262,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,11.073,349.83,0.1218,0.1083,0.2597,0.2597,OK,
ATVM2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\ATVM2409.262,ATVM,ATLACOMULCO,,19.76185,-99.841,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,79.758,301.33,0.0168,0.0314,0.0226,0.0314,OK,
AZVM2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\AZVM2409.262,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,23.752,335.81,0.0231,0.0207,0.0238,0.0238,OK,
BJVM2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\BJVM2409.262,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,2.627,129.41,5.9938,18.3932,12.4555,18.3932,OK,
CCHA2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CCHA2409.262,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,12.209,352.66,0.9222,1.1996,1.5517,1.5517,OK,
CCHO2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CCHO2409.262,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,13.665,92.74,2.0963,1.7977,1.9855,2.0963,OK,
CCHS2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CCHS2409.262,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,8.728,185.9,0.9363,1.3509,1.2267,1.3509,OK,
CCHV2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CCHV2409.262,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,11.502,26.82,0.9869,1.3853,1.4338,1.4338,OK,
CENA2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CENA2409.262,CENA,CENAPRED,,19.314684,-99.175392,,,CENTRO NACIONAL DE PREVENCION DE DESASTRES,,,3,HLZ/HLN/HLE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,8.514,169.63,0.0803,0.1243,0.1537,0.1537,OK,
CM552409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CM552409.262,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,13.227,92.38,0.1114,0.1106,0.0862,0.1114,OK,
CMAD2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CMAD2409.262,CMAD,Colegio Madrid A.C.,,19.288766,-99.133744,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,12.71,152.32,0.8293,1.4309,1.3954,1.4309,OK,
CMBM2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CMBM2409.262,CMBM,BARTOLOME DE MEDINA,"ESCUELA PRIMARIA BARTOLOME DE MEDINA, SO",19.401245,-99.199547,2322.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101285,3,HNW/HNZ/HNN,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,1.602,321.31,1.4475,1.0455,1.663,1.663,OK,
CMCL2409.262,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024-09-26-1113_M2_0_CDMX\ACEL\ASA\CMCL2409.262,CMCL,HOSPITAL CLINICA LONDRES,"CALLE DURANGO, DENTRO DE LAS INSTALACION",19.421417,-99.156975,2245.0,ZONA DE LAGO,INSTITUTO DE INGENIERIA UNAM,ETNA 2,102505,3,HNZ/HNN/HNE,100.0,0.01,2024/09/26,11:13:16,/M=2.0,19.39,-99.19,1.0,,11:12:55.000,[],[],[],Gal,2024-09-26-1112-55S.cdmx2_255,4.919,44.75,0.4947,0.7884,0.7096,0.7884,OK,
