archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
AMVM2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\AMVM2402.201,AMVM,AMECAMECA,,19.13189,-98.7859,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,51.268,120.59,0.2918,0.4465,0.3003,0.4465,OK,
APVM2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\APVM2402.201,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,13.459,358.82,0.132,0.1136,0.2073,0.2073,OK,
AZVM2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\AZVM2402.201,AZVM,ATIZAPAN,,19.58483,-99.2829,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,25.528,341.6,0.0095,0.0113,0.0132,0.0132,OK,
BJVM2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\BJVM2402.201,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,3.813,76.5,0.0637,0.1158,0.1175,0.1175,OK,
CCHA2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CCHA2402.201,CCHA,CCH Azcapotzalco,,19.498895,-99.204878,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,14.667,0.46,0.7118,1.1603,1.184,1.184,OK,
CCHN2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CCHN2402.201,CCHN,CCH Naucalpan,,19.47454,-99.242694,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,12.562,342.17,0.8437,1.2526,1.1765,1.2526,OK,
CCHO2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CCHO2402.201,CCHO,CCH Oriente,,19.384084,-99.05987,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,15.446,82.91,1.2698,1.4929,1.5935,1.5935,OK,
CCHS2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CCHS2402.201,CCHS,CCH Sur,,19.311925,-99.198544,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,6.174,172.72,0.8131,1.3169,1.3231,1.3231,OK,
CCHV2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CCHV2402.201,CCHV,CCH Vallejo,,19.482307,-99.140487,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,14.546,28.17,0.946,1.3255,1.3214,1.3255,OK,
CM552402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CM552402.201,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,15.029,82.32,0.0658,0.0636,0.0404,0.0658,OK,
CMAD2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CMAD2402.201,CMAD,Colegio Madrid A.C.,,19.288766,-99.133744,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,RS-4D,,3,ENZ/ENN/ENE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,11.539,138.91,0.7497,1.4345,1.5214,1.5214,OK,
CMBM2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CMBM2402.201,CMBM,BARTOLOME DE MEDINA,"ESCUELA PRIMARIA BARTOLOME DE MEDINA, SO",19.401245,-99.199547,2322.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101285,3,HNZ/HNW/HNN,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,3.868,10.08,0.6023,0.2638,0.5207,0.6023,OK,
CMCL2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CMCL2402.201,CMCL,HOSPITAL CLINICA LONDRES,"CALLE DURANGO, DENTRO DE LAS INSTALACION",19.421417,-99.156975,2245.0,ZONA DE LAGO,INSTITUTO DE INGENIERIA UNAM,ETNA 2,102505,3,HNZ/HNN/HNE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,7.941,40.35,0.1242,0.0602,0.0481,0.1242,OK,
CMCT2402.201,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_20_1007_35_M1.4_CDMX\ACEL\ASA\CMCT2402.201,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2024/02/20,10:07:35,/M=1.4,19.367,-99.206,,,10:07: 5.000,[],[],[],Gal,2024-02-20-1007-05S.MAN___264,11.67,37.68,0.7722,0.155,0.1488,0.7722,OK,
